Keyword,Frequency
하기 좋습니다,9
하기도 좋아요,9
하시고,9
해주시고,9
했던,9
했었는데,9
했을,9
허니,9
홍차,9
휴양지,9
500원,8
ㅎㅎ 커피,8
가까운,8
가는데,8
가능한,8
가봤는데,8
감성 카페,8
갑니당,8
같아,8
건물,8
검색,8
고소해요,8
공부 하는,8
공부 하러,8
구경,8
그니,8
그대로,8
그릭 후르,8
그릭 후르 산도,8
금성 다방,8
기념,8
기대 됩니다,8
깔끔해서,8
날씨 좋은,8
너무 맛있어요 특히,8
너무 이쁘고,8
너무 좋았습니다,8
너무 친절하고,8
넓고 좋아요,8
다가,8
다른 메뉴,8
다쿠아즈,8
단거,8
달달 하고,8
달지도,8
대로,8
더블,8
더운,8
도넛 맛집,8
되요,8
들고,8
들렀어요,8
들려요,8
들린,8
디저트 음료,8
디저트 좋아요,8
따로,8
라는,8
라떼 맛있고,8
레트로 감성,8
려고,8
마다 기분,8
마들렌 종류,8
마셔 봤는데,8
마시면,8
마침,8
마카,8
마카 미아,8
만석,8
만족,8
많음,8
맛있 니당,8
맛있게 먹고,8
맛있고 친절해요,8
맛있고 카페,8
맛있고 쿠키,8
맛있는 이에요,8
맛있는 커피집,8
맛있다고 해서,8
맛있어요 ㅠㅠ,8
맛있어요 디저트,8
맛집 이네,8
맛집 커피,8
먹고 갑니다,8
멀리,8
멋있어요,8
메뉴 다양하고,8
모금,8
모임,8
무엇 보다 커피,8
미아,8
바스크 치즈케이크,8
방문 예정,8
방문 이에요,8
버터크림,8
베리,8
보통,8
봐야겠어요,8
분위기 좋습니다,8
블렌딩,8
사람 많아서,8
사진 찍기,8
산책 하다,8
서비스 주신,8
소금 먹어,8
스칼렛,8
신랑,8
신상 카페,8
신선한,8
싶었던,8
아기자기,8
아주 좋아요,8
안내,8
앉을,8
않은데,8
알바생,8
애플 시나몬,8
엄청 친절하세요,8
없어,8
에어로 아메리카노,8
여기 진짜,8
영업,8
예쁘고 사장,8
오는 카페,8
오디,8
오스,8
오시,8
와도,8
왔다가,8
용량,8
유명한,8
으로 방문,8
이건,8
이라 너무,8
이신,8
이해,8
이후,8
인상,8
인테리어 이쁘고,8
일품,8
있어 좋아요,8
있음,8
작업 하기,8
재즈,8
저격,8
점심 먹고,8
정말 맛있는,8
제대로,8
종류 다양해요,8
좋고 분위기,8
좋더라구요,8
좋아요 디저트,8
좋아하시면,8
좋아해요,8
좋았던,8
좋은 카페 에요,8
좋지만,8
주말 이라,8
주문 해서,8
주셨는데,8
주스,8
쥬스,8
직원 친절하세요,8
착하고,8
처음 방문 했는데,8
철길 산책,8
청귤,8
초당,8
초당 옥수수,8
취저,8
친구 추천,8
친절하시고 좋아요,8
친절하시고 카페,8
카페 분위기 너무,8
커서,8
커스타드,8
커스터드,8
커피 디저트 맛있어요,8
커피 맛있습니다,8
커피 맛있어서 자주,8
커피 맛있었어요,8
커피 맛집 이에요,8
커피 종류,8
커피한잔,8
코코,8
쾌적하고,8
퇴근,8
편안하고,8
편안한 분위기,8
편안해요,8
플레인,8
픽업,8
하늘색,8
하며,8
항상 사람,8
해주셨어요,8
햇빛,8
햇살,8
홀짝,8
후기,8
100,7
가격 저렴하고,7
가볍게,7
가성 좋은,7
감탄,7
강아지 동반,7
같고,7
건지,7
고구마,7
고르는,7
공릉동 커피 맛집,7
공리 단길 카페,7
공부 하기도,7
과일 많이,7
구성,7
궁금했는데,7
귀엽고,7
그거,7
그리고 무엇,7
깜짝,7
깨끗해요,7
나온 소금,7
너무 맛있는,7
너무 맛있어,7
너무 맛있어요 분위기,7
너무 좋고 커피,7
너무 좋습니다,7
너무 친절하시구,7
너무나,7
녹차,7
느끼하지,7
늦게,7
다른 디저트,7
다양하게,7
다양한 디저트,7
다양해서 좋아요,7
단길 카페,7
달달 구리,7
달달 하니,7
달지도 않고,7
대화 하기도,7
도너츠,7
도넛 맛있어요,7
동네 커피,7
동네 커피 맛집,7
되어서,7
들렀는데,7
들려서,7
들어갔는데,7
들었어요,7
디저트 맛있어서,7
디저트 먹어,7
디져트,7
라떼 맛집 이에요,7
라떼 맛집 입니다,7
로운,7
마셔도,7
마셨습니다,7
마셨어요,7
마일 커피,7
만에,7
많았어요,7
맛있고 디저트 맛있어요,7
맛있어 보여요,7
맛있어요 그리고,7
맛있어요 사장 친절하시고,7
맛있어요 원두,7
맛있었는데,7
맛있었어요 특히,7
맛있을,7
맛집 이라,7
망고,7
머신,7
먹기 좋아요,7
먹어 봤는데 너무,7
먹으려고,7
먹을 있어서,7
먹음,7
미리,7
믿고 먹는,7
밀가루,7
바리스타,7
받고,7
밤밤,7
방문 입니다,7
